Hour,Temperature,load
1,32.9,1232.515
2,32.8,1209.296
3,32.8,1194.073
4,32.8,1195.16
5,32,1220.091
6,31.5,1255.063
7,30.6,1330.244
8,29.8,1377.368
9,29.9,1415.971
10,29.7,1392.493
11,29.8,1358.001
12,28.4,1351.085
13,27.1,1354.503
14,26.3,1324.524
15,24.7,1317.756
16,23.2,1371.137
17,21.5,1463.066
18,19.7,1535.863
19,18,1513.011
20,15.9,1476.596
21,18.3,1388.457
22,16.1,1306.342
23,13.8,1231.653
24,33.1,1176.518
1,10.1,1142.285
2,8.9,1117.107
3,7.8,1117.148
4,7.1,1120.718
5,6.3,1162.021
6,6.1,1257.467
7,5.7,1427.435
8,5.7,1474.066
9,7.4,1391.968
10,10.7,1293.423
11,14.1,1240.737
12,17,1193.748
13,19.2,1155.93
14,21,1132.141
15,22.8,1159.388
16,24.2,1231.659
17,25,1374.311
18,24.4,1461.679
19,24.3,1487.131
20,25.3,1486.127
21,26.5,1376.957
22,27.3,1281.791
23,28.1,1204.398
24,11.7,1150.314
1,28.1,1121.35
2,28.8,1105.039
3,29.5,1099.753
4,30.7,1118.144
5,32.1,1165.181
6,33,1254.353
7,33.3,1387.598
8,32,1427.356
9,23.6,1363.43
10,28.8,1285.564
11,32.3,1142.942
12,34.4,1078.207
13,36.3,1038.048
14,38.4,1041.962
15,39.6,1078.163
16,39.3,1200.012
17,38.6,1336.726
18,37.6,1458.523
19,37.6,1447.138
20,37.4,1405.772
21,38.1,1376.494
22,38,1325.632
23,38.2,1208.443
24,28.1,1165.202
1,40.5,1140.285
2,41.9,1121.262
3,41.4,1120.74
4,39.9,1132.778
5,38.3,1155.292
6,36.8,1247.312
7,35.4,1369.538
8,33.4,1417.373
9,35.7,1387.492
10,37.8,1354.888
11,38.4,1344.379
12,38.4,1323.6
13,38.2,1227.775
14,38.2,1165.981
15,36.9,1174.03
16,34.7,1304.725
17,32.4,1404.375
18,29.7,1468.826
19,27.9,1470.21
20,26.1,1424.635
21,27.1,1362.228
22,24.8,1304.692
23,22.9,1219.1
24,38.8,1170.23
1,20.7,1131.034
2,19.6,1117.673
3,18.7,1124.81
4,17.7,1133.878
5,16.6,1173.209
6,15.6,1258.967
7,14.8,1397.461
8,14.4,1423.344
9,18.7,1319.844
10,19.8,1192.648
11,20.7,1109.031
12,22.3,1084.64
13,23.8,1176.944
14,24.6,1190.999
15,25.2,1131.605
16,25.3,1187.325
17,24.5,1348.353
18,23,1447.985
19,22,1449.621
20,20.7,1410.991
21,22.8,1361.542
22,21.4,1298.844
23,19.8,1222.722
24,21.6,1180.008
1,17.6,1145.323
2,17.7,1128.648
3,17.4,1124.025
4,17.7,1134.009
5,19,1180.094
6,19.3,1257.963
7,20,1368.912
8,21.8,1423.765
9,24.6,1380.179
10,27.2,1395.261
11,28.2,1298.023
12,29.1,1276.232
13,29.5,1240.988
14,31.1,1219.068
15,32.4,1211.861
16,33.6,1279.808
17,34,1376.678
18,33.8,1463.756
19,33.5,1447.619
20,33.1,1436.686
21,27.9,1431.543
22,27.2,1337.355
23,25.7,1245.291
24,18.2,1190.746
1,30,1174.162
2,31.1,1135.419
3,31.6,1121.528
4,33.5,1127.535
5,35,1153.139
6,36,1191.532
7,36.7,1245.658
8,35.7,1305.403
9,36,1329.659
10,36.6,1344.471
11,35.9,1327.681
12,35,1297.24
13,32.9,1317.544
14,31.9,1290.325
15,31.5,1307.593
16,31,1327.515
17,29.8,1382.974
18,28,1460.76
19,26.4,1447.282
20,25.2,1412.257
21,26.1,1369.189
22,24.8,1317.206
23,22.8,1260.034
24,27.5,1227.423
1,21.5,1186.95
2,20.9,1168.046
3,21,1168.696
4,20.4,1160.416
5,19.8,1178.188
6,18.7,1212.948
7,18.1,1302.244
8,18.7,1339.413
9,22.1,1380.858
10,25.2,1305.904
11,28.4,1250.781
12,29.9,1257.675
13,31.5,1197.624
14,32.2,1168.765
15,32.5,1198.107
16,32.4,1309.36
17,31.4,1454.336
18,28.1,1569.666
19,26.5,1519.719
20,27.3,1440.615
21,28.8,1397.274
22,28.5,1350.062
23,28.2,1343.822
24,22.1,1263.592
1,27.6,1190.667
2,27.3,1167.476
3,27.1,1163.741
4,27.7,1271.136
5,28.1,1214.088
6,28.5,1298.219
7,29.2,1417.725
8,28.7,1455.048
9,25.2,1432.715
10,24.7,1220.751
11,24.4,1133.286
12,25.3,1076.759
13,26.9,1047.843
14,27.9,1043.346
15,28.9,1081.816
16,28.9,1213.787
17,29.1,1376.062
18,28.4,1493.227
19,27.5,1485.393
20,26.6,1442.53
21,25.3,1383.023
22,24.1,1308.418
23,23.6,1228.279
24,28.1,1165.61
1,23.6,1136.084
2,22.9,1117.521
3,22.3,1116.932
4,22.6,1125.95
5,23.4,1161.823
6,23,1249.73
7,22.1,1379.138
8,21.6,1393.777
9,23.9,1259.903
10,26.4,1183.658
11,29.2,1071.297
12,30.8,986.069
13,31,949.92
14,31,973.548
15,30.6,1088.782
16,30.5,1232.429
17,29.5,1328.322
18,26.6,1442.241
19,23.6,1439.4
20,21.3,1387.806
21,22,1325.259
22,20.2,1249.021
23,18.5,1168.71
24,23.8,1149.781
1,13.4,1046.268
2,10.2,1025.947
3,8.8,1004.543
4,7.7,1006.952
5,9.8,1043.634
6,11.4,1131.665
7,12.5,1220.115
8,12.6,1284.172
9,13.8,1304.729
10,17.5,1283.952
11,21.6,1270.427
12,25.4,1315.807
13,27.5,1262.65
14,28.5,1243.965
15,29.7,1288.267
16,30.1,1248.012
17,29.5,1313.144
18,28.3,1396.077
19,27,1382.237
20,26.1,1345.762
21,26.9,1293.889
22,26,1220.629
23,25.7,1148.39
24,17,1107.138
1,25.6,1048.184
2,25.2,1028.632
3,24.9,1012.944
4,23.6,1024.611
5,22.9,1062.359
6,20.8,1148.724
7,18.9,1249.231
8,17.9,1290.675
9,23,1213.967
10,27.3,1143.515
11,30.9,1055.079
12,32.3,998.907
13,32.1,1047.745
14,31.5,1048.579
15,30.8,1072.332
16,30.6,1141.227
17,30.4,1260.85
18,29.8,1386.058
19,30,1400.058
20,30.6,1362.265
21,31.6,1315.179
22,31.7,1257.757
23,31.8,1184.029
24,26,1125.822
1,32,1120.193
2,32.2,1092.754
3,32.5,1066.33
4,33,1078.354
5,33.3,1119.077
6,33.6,1200.295
7,34.8,1309.881
8,35.4,1305.345
9,35.6,1228.806
10,36.5,1167.09
11,37.1,1027.921
12,37,953.828
13,36.9,919.31
14,37.6,933.869
15,37.7,987.463
16,37.1,1097.412
17,37.9,1236.331
18,38.3,1357.173
19,37.8,1353.85
20,38.3,1304.724
21,38.7,1263.399
22,35.6,1215.11
23,31.8,1157.768
24,32,1101.305
1,29,1074.721
2,28.1,1055.647
3,27,1042.967
4,25.8,1053.932
5,24.3,1081.31
6,23.1,1127.625
7,22.2,1184.867
8,21.1,1188.894
9,25.5,1125.065
10,26.8,1101.145
11,27.7,1104.543
12,27.6,1118.272
13,27.8,1124.098
14,27.9,1123.581
15,28.4,1078.394
16,28.7,1132.295
17,27.9,1250.939
18,26.4,1324.876
19,24.6,1352.983
20,23.4,1313.426
21,23.4,1278.212
22,22.3,1236.399
23,20.2,1156.949
24,30.3,1097.431
1,17.5,1059.557
2,16.9,1034.11
3,17.1,1027.399
4,15.9,1010.672
5,14.8,1025.093
6,13.9,1101.906
7,12.6,1182.507
8,10.4,1208.452
9,19.2,1159.326
10,22.2,1002.02
11,24.2,922.865
12,25.5,901.478
13,26.2,878.825
14,27.3,851.701
15,27.9,893.404
16,28.5,1031.721
17,28.5,1228.502
18,27.7,1356.347
19,26.4,1366.127
20,25.8,1325.484
21,24.7,1277.365
22,24.4,1228.882
23,24.5,1164.316
24,18.2,1110.462
1,25.5,1085.889
2,26.5,1072.974
3,27.8,1071.291
4,29.2,1085.055
5,30.6,1117.691
6,32,1178.299
7,33.1,1244.895
8,34.2,1244.987
9,33.8,1141.374
10,34.7,1044.682
11,35.5,988.717
12,35.8,935.597
13,36,904.222
14,36.2,906.184
15,36.5,944.775
16,36.7,1071.82
17,36.9,1234.027
18,35,1356.412
19,34.5,1352.024
20,34.2,1304.761
21,34.1,1254.299
22,31.1,1191.245
23,29,1116.268
24,24.8,1075.883
1,29.4,1033.706
2,25.9,1027.383
3,24.1,1020.729
4,23.3,1024.931
5,23.2,1060.578
6,22.9,1115.96
7,22.7,1214.574
8,22.1,1249.744
9,23.6,1190.378
10,23.2,1124.646
11,22.6,1095.187
12,22.3,1069.999
13,23.5,1057.389
14,23.4,1102.825
15,24.3,1211.137
16,24.7,1265.664
17,24,1344.973
18,22.7,1381.956
19,21.2,1385.094
20,20.3,1283.543
21,22.5,1214.197
22,20.7,1144.928
23,18.4,1061.615
24,32.3,1016.688
1,15.3,985.431
2,14.6,955.604
3,14,953.529
4,13.6,972.196
5,13,1008.547
6,12.5,1076.367
7,12.3,1167.204
8,12.1,1161.784
9,16.3,1060.509
10,17.2,979.483
11,18.1,925.963
12,19.4,866.198
13,19.8,824.193
14,20.3,830.379
15,20.5,933.125
16,20,1089.321
17,19.5,1222.24
18,18.1,1337.123
19,17.3,1344.605
20,16.6,1304.291
21,18.3,1253.832
22,17.7,1188.677
23,17.2,1122.74
24,16.5,1073.223
1,16.3,1041.943
2,15.4,1028.553
3,14.6,1014.746
4,13.5,1038.006
5,12.6,1080.373
6,11.5,1163.764
7,9.9,1258.544
8,8.4,1235.78
9,13.1,1066.661
10,13.5,928.735
11,14.8,860.838
12,17.1,828.145
13,20,811.188
14,22.6,814.068
15,24.7,866.022
16,25.9,994.045
17,26,1183.076
18,24.4,1325.754
19,21.7,1331.072
20,19.8,1302.741
21,21.7,1258.092
22,19.8,1201.784
23,18.1,1157.567
24,17,1157.002
1,15.3,1077.252
2,14.1,1072.521
3,13,1066.656
4,12.1,1082.318
5,11.6,1109.816
6,10.5,1170.847
7,9.4,1258.907
8,8.9,1254.595
9,11.7,1183.831
10,14.8,1101.496
11,17.1,1107.396
12,20,1104.772
13,23.1,1110.881
14,25.2,1121.994
15,26.3,1140.718
16,27.1,1193.316
17,27.2,1257.035
18,26.3,1312.94
19,23.7,1306.162
20,21,1258.807
21,21.6,1209.624
22,22.1,1153.24
23,21.6,1086.309
24,16.4,1054.996
1,19.6,1000.963
2,19.1,973.459
3,19.4,976.534
4,19.6,993.576
5,19.9,1014.031
6,20,1059.062
7,19.5,1127.835
8,18.7,1196.53
9,21,1230.047
10,21.7,1223.53
11,23.3,1181.69
12,25.2,1111.508
13,26.6,1047.364
14,27.7,996.446
15,28.3,982.187
16,28.4,1051.35
17,27.6,1192.31
18,25.6,1311.4
19,23.7,1319.864
20,22.5,1282.233
21,23.5,1251.194
22,22.1,1195.32
23,21.2,1153.943
24,20.7,1113.506
1,18.7,1090.29
2,17.2,1085.882
3,15.9,1075.05
4,14.6,1081.7
5,13.6,1102.354
6,13,1133.207
7,12.2,1180.752
8,11.6,1177.843
9,17.1,1094.85
10,19.3,1041.258
11,21.7,977.709
12,24.3,888.978
13,27,848.606
14,29.7,846.191
15,31.6,915.652
16,32.6,1074.253
17,32.3,1230.569
18,29.9,1337.378
19,27.5,1335.678
20,26.5,1281.378
21,26.1,1235.515
22,25.5,1210.203
23,25.2,1125.776
24,20,1051.669
1,25.4,1022.127
2,24.9,1015.307
3,24.7,1015.941
4,25,1026.807
5,24.8,1062.481
6,25.2,1125.5
7,25.7,1223.9
8,26.5,1308.758
9,30.1,1381.48
10,32.4,1429.507
11,34,1438.555
12,35.3,1430.135
13,36.6,1426.336
14,38.3,1415.439
15,39.4,1390.091
16,39.6,1387.817
17,38.7,1428.33
18,35.9,1498.737
19,32.4,1476.939
20,30.9,1405.616
21,30.6,1332.038
22,29.2,1256.225
23,28.8,1183.448
24,25.2,1113.456
1,27.9,1075.274
2,27.3,1059.629
3,26.1,1048.198
4,24.3,1046.801
5,22.7,1093.547
6,21.6,1174.695
7,19.4,1284.836
8,18.8,1277.851
9,28.3,1189.824
10,32.6,1116.632
11,35.6,1078.635
12,37.5,946.94
13,39.1,879.17
14,40.5,879.759
15,41.1,903.906
16,42.2,1039.752
17,40.3,1240.286
18,37.9,1392.184
19,36.9,1420.779
20,36.9,1387.798
21,37.3,1338.719
22,37.7,1274.252
23,38,1202.262
24,28.3,1160.375
1,38.2,1126.07
2,38.2,1115.59
3,37.8,1119.072
4,37.2,1132.701
5,37.1,1164.277
6,37,1241.186
7,36.9,1343.026
8,36.9,1380.23
9,38.1,1370.323
10,39.1,1361.822
11,41.6,1374.026
12,45.7,1396.682
13,48.8,1433.589
14,50.9,1437.228
15,52.5,1399.103
16,52.3,1386.865
17,48.9,1424.353
18,46.5,1460.497
19,44.2,1461.739
20,42.8,1417.915
21,42.4,1358.427
22,40.7,1293.419
23,38.3,1217.147
24,38.3,1149.042
1,36.9,1099.713
2,36.1,1071.915
3,35.7,1051.025
4,35.2,1063.763
5,35.5,1097.948
6,36.1,1180.511
7,36.3,1304.67
8,36.4,1316.384
9,39.9,1293.652
10,43.3,1134.821
11,45.9,1057.455
12,48.1,946.93
13,49.6,887.916
14,50,847.3
15,49,872.416
16,48,985.016
17,46.7,1172.125
18,44,1320.01
19,40.3,1350.13
20,38.5,1311.584
21,39.4,1298.241
22,37.7,1235.597
23,35.6,1200.154
24,37.2,1157.33
1,32.4,1070.168
2,31.3,1057.965
3,32,1051.209
4,32.6,1050.05
5,33.3,1092.09
6,33.9,1180.486
7,34,1290.198
8,34.7,1237.118
9,36.6,1110.148
10,37.8,972.607
11,40.2,917.862
12,44.5,861.665
13,49.2,829.862
14,51.9,849.202
15,51.8,867.102
16,50.3,1021.112
17,48.1,1178.397
18,47,1306.208
19,45.9,1311.78
20,45.6,1284.008
21,45.6,1249.191
22,44.2,1194.076
23,43.5,1132.425
24,34.3,1075.894
1,39.6,1040.056
2,38.3,1031.299
3,37.4,1024.136
4,36.6,1025.305
5,35.1,1043.642
6,34.3,1083.912
7,34.3,1140.055
8,34.8,1099.631
9,39.7,1030.169
10,42.5,951.964
11,43.8,918.293
12,44.3,929.003
13,43.5,993.906
14,41.4,1092.812
15,41.3,1096.084
16,40.4,1110.483
17,38.9,1145.237
18,36.9,1236.493
19,34.1,1252.19
20,45.6,1216.599
21,45.6,1177.585
22,44.2,1118.967
23,43.5,1060.703
24,34.3,1023.644
1,62.1,924.959
2,61.9,873.585
3,61.5,854.592
4,61.4,844.491
5,61.5,850.132
6,61.4,891.485
7,61.2,946.078
8,61.9,952.698
9,62.9,918.159
10,62.4,862.229
11,64.9,865.139
12,67.9,888.394
13,69.2,929.043
14,70.9,931.29
15,71.9,930.948
16,72.2,943.512
17,72,1014.07
18,71.1,1108.62
19,69.8,1174.942
20,68.3,1165.35
21,65.4,1161.31
22,64.3,1100.821
23,63,1020.188
24,62.3,954.361
1,61.5,867.183
2,60.6,823.03
3,59.9,802.763
4,59.4,789.96
5,59,795.239
6,58.6,812.475
7,58,835.304
8,59.2,832.564
9,62,809.247
10,64.7,765.104
11,68.5,753.535
12,71.1,757.927
13,72.5,776.72
14,73.2,800.195
15,73.2,825.416
16,72.6,874.017
17,70.9,950.974
18,70.4,1059.937
19,70.2,1146.137
20,69.9,1150.315
21,67.7,1131.513
22,66.4,1075.895
23,64.9,1001.526
24,61.7,931.297
1,63,866.065
2,62,832.213
3,61,803.4
4,60.3,800.125
5,60,796.824
6,59.4,806.255
7,58.9,810.299
8,61.2,824.353
9,64.8,836.666
10,67.7,829.028
11,72.8,813.497
12,76.6,831.51
13,78.9,851.293
14,80.1,871.932
15,80.8,918.62
16,81.3,1012.862
17,81.3,1111.971
18,81,1221.558
19,80.1,1269.787
20,77.8,1265.296
21,74.7,1227.628
22,69.8,1143.918
23,68.2,1050.277
24,63.8,975.725
1,65.4,917.627
2,64.5,873.898
3,63.9,848.779
4,63.3,842.964
5,63,858.664
6,62.8,906.204
7,62.6,960.299
8,64.5,981.017
9,68.5,1003.756
10,70.9,989.289
11,75.6,990.607
12,79.2,995.574
13,81.9,1029.289
14,83.9,1078.279
15,85.5,1120.354
16,86.4,1192.083
17,86.7,1274.655
18,85.7,1370.08
19,83.2,1407.8
20,81.1,1383.587
21,79.1,1351.472
22,73.6,1256.109
23,71.7,1155.651
24,66.6,1053.404
1,69.7,983.825
2,69,942.894
3,67.6,915.192
4,67.5,892.863
5,67,897.03
6,66.1,942.595
7,65.8,1004.486
8,67,1044.733
9,69.3,1045.624
10,70.7,999.67
11,72.8,968.553
12,73.8,967.159
13,73.3,969.236
14,73.4,941.45
15,73.8,953.088
16,73.9,1014.862
17,73.5,1106.005
18,72.7,1216.028
19,71.1,1276.456
20,68.9,1269.78
21,67.3,1244.781
22,65.7,1163.642
23,65.3,1066.018
24,70.2,972.431
1,64.4,916.99
2,63.9,867.243
3,63.7,839.492
4,63.1,839.388
5,62.4,853.359
6,62.1,917.464
7,62.2,978.261
8,64,998.139
9,67.2,980.918
10,69.9,945.488
11,73,937.771
12,74.9,936.986
13,76,965.934
14,76.5,997.564
15,75.9,1027.44
16,75,1053.436
17,74,1127.987
18,71.4,1226.407
19,68.9,1279.901
20,67.7,1260.384
21,67,1249.27
22,66.2,1188.35
23,66.2,1088.434
24,64.8,993.112
1,65.7,925.9
2,65.4,896.101
3,64.7,853.664
4,64.2,845.409
5,63.9,862.523
6,63.6,899.832
7,62.8,952.585
8,63.9,1006.36
9,67.3,1011.601
10,70.7,976.808
11,73.5,957.945
12,74.9,965.103
13,76.5,984.413
14,77.8,1018.439
15,78.7,1024.361
16,79,1064.819
17,79.1,1144.377
18,78.8,1234.004
19,77.7,1284.26
20,75.6,1271.533
21,72.1,1247.589
22,70.6,1160.933
23,68.9,1062.526
24,66.1,1003.909
1,66.1,930.617
2,64.8,877.494
3,63.8,846.298
4,63,838.005
5,62.2,871.537
6,61.3,941.792
7,60.5,979.39
8,62.6,985.839
9,67.2,978.048
10,71.4,971.231
11,75.8,975.145
12,78.3,1001.075
13,80.2,1003.851
14,81.3,1024.74
15,81.9,1052.968
16,82.2,1094.107
17,81.8,1189.904
18,80.5,1262.023
19,79.1,1288.986
20,77.2,1264.47
21,73.6,1237.384
22,71.1,1174.326
23,69,1086.554
24,67.5,1015.198
1,66.1,936.891
2,64.8,898.468
3,63.7,871.665
4,62.7,857.248
5,61.6,855.113
6,60.5,869.019
7,59.8,901.221
8,61.5,918.017
9,65.8,902.194
10,69.3,866.511
11,73.9,869.905
12,77.4,889.304
13,79.5,909.961
14,80.7,924.052
15,80.8,948.881
16,80.5,995.456
17,79.9,1088.507
18,79,1204.946
19,77.6,1263.221
20,75.8,1251.127
21,73.5,1229.581
22,72,1158.131
23,70.6,1079.425
24,67.5,1019.675
1,68.1,941.058
2,67.4,901.621
3,66.5,876.232
4,65.6,833.739
5,64.8,828.156
6,64.3,837.538
7,63.9,850.913
8,65.4,876.791
9,69.1,867.3
10,72.6,844.03
11,77,858.132
12,81.4,885.529
13,84.8,931.117
14,86.5,985.163
15,87.6,1043.895
16,88.4,1143.754
17,87.6,1269.038
18,86.6,1387.703
19,86,1460.348
20,84.2,1444.024
21,80.5,1415.574
22,77,1313.414
23,75.2,1198.108
24,68.9,1129.784
1,74,1055.481
2,72.9,1019.612
3,72,975.708
4,71.2,964.39
5,70.6,983.805
6,70.2,1025.355
7,69.7,1094.577
8,71.4,1154.907
9,75.6,1163.903
10,80.1,1170.904
11,85.1,1222.055
12,88.8,1266.714
13,91.1,1315.286
14,92.4,1371.066
15,93.5,1409.033
16,94.5,1460.696
17,92.9,1536.963
18,92,1648.122
19,91,1699.771
20,88.5,1656.747
21,85.1,1603.494
22,83,1485.087
23,80.1,1353.888
24,75,1233.303
1,78.3,1177.749
2,77.3,1103.408
3,75.8,1067.701
4,74.6,1050.629
5,73.6,1055.918
6,72.7,1098.473
7,71.9,1169.528
8,72.9,1203.366
9,76.2,1224.465
10,79.9,1236.455
11,84.8,1277.328
12,89.1,1325.1
13,91.6,1373.899
14,93.3,1419.087
15,94,1444.96
16,94.2,1487.979
17,93.6,1567.165
18,93,1664.966
19,89.5,1706.87
20,85.6,1662.813
21,82.1,1603.635
22,80.2,1474.026
23,78.5,1346.438
24,78.4,1233.347
1,75.6,1155.184
2,74.3,1092.762
3,73.3,1048.751
4,72.4,1034.749
5,71.7,1038.679
6,70.9,1067.501
7,70.2,1134.821
8,71.2,1188.579
9,74,1195.811
10,77.8,1200.594
11,82.3,1219.293
12,86.1,1251.528
13,89,1288.334
14,89.8,1318.04
15,90.4,1357.907
16,90,1416.73
17,83,1524.956
18,82.6,1603.298
19,76.4,1607.166
20,76.5,1599.353
21,76,1550.283
22,77.4,1455.45
23,76.6,1346.544
24,77,1238.066
1,75.6,1169.653
2,75.2,1128.69
3,74.4,1106.003
4,73.8,1081.832
5,73.2,1097.216
6,72.7,1143.089
7,72,1232.374
8,73,1279.014
9,75.4,1334.614
10,78,1347.859
11,80.4,1354.96
12,82.6,1330.199
13,84.1,1363.13
14,85.7,1429.234
15,80.6,1488.51
16,77,1486.117
17,79.5,1496.129
18,78.8,1525.285
19,79.2,1551.451
20,77.6,1546.881
21,75.3,1517.685
22,78.5,1429.377
23,77.3,1309.473
24,76,1197.213
1,75,1118.362
2,74.3,1053.123
3,74.1,1008.93
4,72.6,984.74
5,71,990.53
6,69.7,1034.971
7,68.7,1063.752
8,69.1,1089.585
9,70.8,1056.508
10,73.3,1001.286
11,75.1,977.64
12,75.9,967.34
13,76.5,992.275
14,76.6,1019.677
15,76.7,1044.694
16,76.9,1102.943
17,76.3,1201.384
18,75.2,1314.138
19,73.6,1373.241
20,71.2,1348.953
21,69.1,1314.46
22,68.5,1225.536
23,67.8,1126.115
24,76.1,1039.23
1,66.1,957.87
2,65.2,922.456
3,64.1,899.503
4,63.4,879.972
5,62.8,872.363
6,62.1,872.886
7,61.8,887.004
8,64,909
9,68.3,886.625
10,71.5,872.249
11,75.3,868.24
12,78.6,895.778
13,81.3,921.759
14,83,937.882
15,82.8,970.991
16,81.9,1021.117
17,82.7,1118.94
18,82.9,1235.316
19,82.1,1300.463
20,79.6,1296.044
21,76.1,1272.761
